Job Title,Company,Location,Experience Level,Date,Job Description,Cleaned Description
Backend Developer,Microsoft,Hyderabad,Senior Level,2025-03-27,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Redis, Go. Knowledge of Python, SQL, Kubernetes is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, redis, go. knowledge of python, sql, kubernetes is a plus."
Frontend Developer,Amazon,Hyderabad,Senior Level,2025-04-16,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, Sass, React. Knowledge of TypeScript, Redux is a plus.","join infosys as a frontend developer. we are looking for talented individuals. requirements must have strong experience in vue, sass, react. knowledge of typescript, redux is a plus."
DevOps Engineer,TechGiant,Mumbai,Mid Level,2025-08-26,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Linux, CI/CD. Knowledge of Kubernetes, Terraform, AWS, Agile is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in docker, linux, cicd. knowledge of kubernetes, terraform, aws, agile is a plus."
Data Scientist,TCS,Remote,Mid Level,2025-06-29,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, Scikit-Learn, SQL. Knowledge of NLTK, Machine Learning, Statistics is a plus.","join amazon as a data scientist. we are looking for talented individuals. requirements must have strong experience in python, scikitlearn, sql. knowledge of nltk, machine learning, statistics is a plus."
Web Developer,InnovateAI,Bangalore,Mid Level,2025-05-09,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, React, Flask. Knowledge of Node.js, Django, HTML, CSS, Communication is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in javascript, react, flask. knowledge of node.js, django, html, css, communication is a plus."
Backend Developer,Microsoft,Hyderabad,Entry Level,2026-01-11,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Python, Redis. Knowledge of Java, Kubernetes is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in sql, python, redis. knowledge of java, kubernetes is a plus."
Data Scientist,TCS,Hyderabad,Mid Level,2026-02-12,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, SQL, Machine Learning. Knowledge of Python, Agile is a plus.","join microsoft as a data scientist. we are looking for talented individuals. requirements must have strong experience in scikitlearn, sql, machine learning. knowledge of python, agile is a plus."
Frontend Developer,Amazon,Pune,Entry Level,2026-03-19,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Sass, Vue. Knowledge of Redux, JavaScript, React is a plus.","join infosys as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, sass, vue. knowledge of redux, javascript, react is a plus."
ML Engineer,Microsoft,Delhi,Entry Level,2025-04-16,"Join Infosys as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, Docker. Knowledge of TensorFlow, Machine Learning, PyTorch, Teamwork is a plus.","join infosys as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, python, docker. knowledge of tensorflow, machine learning, pytorch, teamwork is a plus."
Backend Developer,Amazon,Remote,Mid Level,2025-06-09,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Python, Redis. Knowledge of Java, Kubernetes, Agile is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, python, redis. knowledge of java, kubernetes, agile is a plus."
