Job Title,Company,Location,Experience Level,Date,Job Description
Backend Developer,Microsoft,Hyderabad,Senior Level,2025-03-27,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Redis, Go. Knowledge of Python, SQL, Kubernetes is a plus."
Frontend Developer,Amazon,Hyderabad,Senior Level,2025-04-16,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, Sass, React. Knowledge of TypeScript, Redux is a plus."
DevOps Engineer,TechGiant,Mumbai,Mid Level,2025-08-26,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Linux, CI/CD. Knowledge of Kubernetes, Terraform, AWS, Agile is a plus."
Data Scientist,TCS,Remote,Mid Level,2025-06-29,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, Scikit-Learn, SQL. Knowledge of NLTK, Machine Learning, Statistics is a plus."
Web Developer,InnovateAI,Bangalore,Mid Level,2025-05-09,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, React, Flask. Knowledge of Node.js, Django, HTML, CSS, Communication is a plus."
Backend Developer,Microsoft,Hyderabad,Entry Level,2026-01-11,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Python, Redis. Knowledge of Java, Kubernetes is a plus."
Data Scientist,TCS,Hyderabad,Mid Level,2026-02-12,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, SQL, Machine Learning. Knowledge of Python, Agile is a plus."
Frontend Developer,Amazon,Pune,Entry Level,2026-03-19,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Sass, Vue. Knowledge of Redux, JavaScript, React is a plus."
ML Engineer,Microsoft,Delhi,Entry Level,2025-04-16,"Join Infosys as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, Docker. Knowledge of TensorFlow, Machine Learning, PyTorch, Teamwork is a plus."
Backend Developer,Amazon,Remote,Mid Level,2025-06-09,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Python, Redis. Knowledge of Java, Kubernetes, Agile is a plus."
Frontend Developer,Google,Pune,Mid Level,2025-11-30,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Redux, Sass. Knowledge of JavaScript, Vue, Agile is a plus."
Frontend Developer,TechGiant,Delhi,Entry Level,2025-04-16,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Redux, Sass. Knowledge of Vue, React is a plus."
Frontend Developer,Microsoft,Hyderabad,Entry Level,2025-11-01,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Vue, Redux. Knowledge of React, Sass, JavaScript, Agile is a plus."
Frontend Developer,Microsoft,Remote,Senior Level,2025-09-05,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, React. Knowledge of JavaScript, Vue, Sass is a plus."
DevOps Engineer,Microsoft,Pune,Senior Level,2026-03-17,"Join Infosys as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Kubernetes, Docker. Knowledge of AWS, Jenkins, CI/CD, Agile is a plus."
ML Engineer,Google,Pune,Senior Level,2025-04-18,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Spark, TensorFlow. Knowledge of Python, Teamwork is a plus."
Backend Developer,TechGiant,Delhi,Mid Level,2025-06-28,"Join TCS as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, SQL, Kubernetes. Knowledge of API Design, Redis, Python, Agile is a plus."
ML Engineer,Google,Hyderabad,Senior Level,2025-04-07,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Docker, Machine Learning. Knowledge of Python, AWS, Spark, Agile is a plus."
Web Developer,TechGiant,Bangalore,Mid Level,2025-10-30,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, Flask, Node.js. Knowledge of CSS, React, Django, JavaScript, Teamwork is a plus."
Data Scientist,StartupX,Bangalore,Mid Level,2025-06-25,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in NLTK, SQL, Machine Learning. Knowledge of Python, Pandas, Statistics, Communication is a plus."
Web Developer,Google,Remote,Senior Level,2025-08-05,"Join InnovateAI as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, CSS, Flask. Knowledge of Django, React is a plus."
DevOps Engineer,Infosys,Pune,Mid Level,2025-03-26,"Join Microsoft as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Kubernetes, Docker. Knowledge of Terraform, Jenkins, CI/CD, AWS, Agile is a plus."
Frontend Developer,Google,Remote,Entry Level,2025-05-30,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, TypeScript, Sass. Knowledge of Vue, Redux is a plus."
Frontend Developer,TCS,Bangalore,Senior Level,2026-01-22,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, JavaScript, Vue. Knowledge of TypeScript, React is a plus."
ML Engineer,TechGiant,Remote,Senior Level,2025-11-19,"Join StartupX as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, PyTorch, TensorFlow. Knowledge of AWS, Docker, Python, Spark, Agile is a plus."
Web Developer,StartupX,Delhi,Mid Level,2025-12-27,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Django, Flask. Knowledge of JavaScript, Agile is a plus."
Frontend Developer,InnovateAI,Remote,Mid Level,2025-09-13,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, Vue, Sass. Knowledge of TypeScript, Communication is a plus."
Data Scientist,Amazon,Mumbai,Entry Level,2025-06-27,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in NLTK, Python, Machine Learning. Knowledge of SQL, Scikit-Learn, Statistics is a plus."
Data Scientist,Infosys,Bangalore,Entry Level,2026-01-05,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, SQL, Machine Learning. Knowledge of Statistics, Pandas, Scikit-Learn is a plus."
DevOps Engineer,InnovateAI,Hyderabad,Senior Level,2025-08-16,"Join InnovateAI as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Jenkins, AWS. Knowledge of Terraform, Agile is a plus."
Frontend Developer,Microsoft,Bangalore,Senior Level,2026-03-24,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, React, Sass. Knowledge of Vue, Communication is a plus."
Backend Developer,Infosys,Hyderabad,Entry Level,2026-01-17,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Kubernetes, API Design. Knowledge of Python, Redis, Go is a plus."
Frontend Developer,TCS,Delhi,Entry Level,2025-05-29,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, React, Sass. Knowledge of JavaScript, TypeScript, Vue, Teamwork is a plus."
Frontend Developer,Google,Bangalore,Mid Level,2025-09-04,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, React, TypeScript. Knowledge of Redux, Communication is a plus."
Data Scientist,Amazon,Bangalore,Mid Level,2025-11-22,"Join TechGiant as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, Machine Learning, NLTK. Knowledge of Pandas, Scikit-Learn, Statistics, SQL, Teamwork is a plus."
Frontend Developer,InnovateAI,Bangalore,Senior Level,2025-04-12,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, Vue, React. Knowledge of JavaScript, Redux, TypeScript is a plus."
Data Scientist,Google,Mumbai,Entry Level,2025-11-16,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, Python, Statistics. Knowledge of NLTK is a plus."
Web Developer,Google,Bangalore,Senior Level,2025-09-12,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, CSS, Node.js. Knowledge of Django, Flask is a plus."
Web Developer,InnovateAI,Delhi,Senior Level,2026-03-14,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, CSS, React. Knowledge of Node.js, JavaScript, HTML, Django, Communication is a plus."
Web Developer,Microsoft,Pune,Senior Level,2026-01-17,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, Flask, React. Knowledge of CSS is a plus."
Frontend Developer,TCS,Delhi,Entry Level,2025-07-26,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, TypeScript, JavaScript. Knowledge of React, Communication is a plus."
Frontend Developer,Amazon,Hyderabad,Entry Level,2025-09-07,"Join TCS as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Vue, Sass. Knowledge of JavaScript, Agile is a plus."
Backend Developer,TechGiant,Hyderabad,Mid Level,2025-04-20,"Join Microsoft as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Go, Python. Knowledge of Redis, API Design, Java, Teamwork is a plus."
ML Engineer,Infosys,Mumbai,Senior Level,2025-07-14,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, TensorFlow, Machine Learning. Knowledge of PyTorch is a plus."
Data Scientist,Google,Remote,Mid Level,2025-07-31,"Join StartupX as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, NLTK, Statistics. Knowledge of Pandas, Teamwork is a plus."
Backend Developer,Infosys,Remote,Senior Level,2025-12-08,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Python, Go. Knowledge of Java, Agile is a plus."
DevOps Engineer,StartupX,Mumbai,Senior Level,2025-10-08,"Join InnovateAI as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, CI/CD, Linux. Knowledge of Terraform, Kubernetes, AWS, Jenkins, Teamwork is a plus."
Backend Developer,Amazon,Mumbai,Senior Level,2025-05-23,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Kubernetes, Redis. Knowledge of SQL, Java, API Design, Python is a plus."
Frontend Developer,InnovateAI,Bangalore,Mid Level,2025-06-23,"Join TechGiant as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, TypeScript, Redux. Knowledge of Vue, JavaScript, React, Teamwork is a plus."
Frontend Developer,Infosys,Mumbai,Mid Level,2025-12-26,"Join Amazon as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, React. Knowledge of Sass, JavaScript, Agile is a plus."
Web Developer,TechGiant,Hyderabad,Entry Level,2025-03-30,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Node.js, HTML. Knowledge of Flask, Django, Communication is a plus."
Data Scientist,TCS,Remote,Entry Level,2025-04-14,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, Pandas, NLTK. Knowledge of Statistics, Scikit-Learn, Teamwork is a plus."
Web Developer,Microsoft,Hyderabad,Senior Level,2025-05-18,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, React, Node.js. Knowledge of Django, HTML, Agile is a plus."
ML Engineer,Infosys,Bangalore,Senior Level,2025-04-15,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, TensorFlow, Docker. Knowledge of Python is a plus."
Web Developer,StartupX,Mumbai,Mid Level,2025-08-23,"Join Infosys as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, React, Django. Knowledge of CSS, Flask, Agile is a plus."
Backend Developer,TechGiant,Delhi,Senior Level,2025-11-17,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, SQL, Redis. Knowledge of Python is a plus."
ML Engineer,Google,Bangalore,Mid Level,2025-12-13,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, PyTorch. Knowledge of Docker, Spark, Machine Learning, TensorFlow is a plus."
Data Scientist,TCS,Remote,Mid Level,2025-03-31,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Machine Learning, Scikit-Learn. Knowledge of SQL, NLTK is a plus."
Frontend Developer,Google,Bangalore,Entry Level,2025-05-11,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, JavaScript, TypeScript. Knowledge of React, Vue, Sass, Communication is a plus."
Web Developer,TCS,Delhi,Senior Level,2025-05-23,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, Django, HTML. Knowledge of CSS, JavaScript, Flask, React is a plus."
Web Developer,TechGiant,Mumbai,Entry Level,2025-08-25,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in CSS, JavaScript, React. Knowledge of HTML, Flask, Node.js, Django is a plus."
Frontend Developer,StartupX,Hyderabad,Entry Level,2025-05-08,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Redux, JavaScript. Knowledge of Vue, Sass, TypeScript, Communication is a plus."
Frontend Developer,Amazon,Bangalore,Mid Level,2025-04-01,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, JavaScript, Redux. Knowledge of Vue, Agile is a plus."
Web Developer,Infosys,Pune,Mid Level,2025-07-23,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, CSS, Node.js. Knowledge of JavaScript, HTML, Agile is a plus."
Backend Developer,Infosys,Mumbai,Mid Level,2025-10-08,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, Redis. Knowledge of Kubernetes, Python, SQL, Java, Teamwork is a plus."
Data Scientist,TechGiant,Pune,Senior Level,2026-02-08,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, NLTK, Machine Learning. Knowledge of Scikit-Learn, Python is a plus."
DevOps Engineer,StartupX,Hyderabad,Entry Level,2025-05-05,"Join TCS as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, CI/CD, Kubernetes. Knowledge of Jenkins, Linux, Agile is a plus."
DevOps Engineer,Amazon,Hyderabad,Senior Level,2026-01-17,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Linux, Docker. Knowledge of Jenkins, CI/CD, Terraform, Communication is a plus."
ML Engineer,StartupX,Bangalore,Entry Level,2025-11-21,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Spark, Docker, AWS. Knowledge of Machine Learning, Python, Communication is a plus."
